,Name,Title,citation_all,citation_since2016,h-index_all,h-index_since2016,i10-index_all,i10-index_since2016
0,Lynn Batten,Emeritus Professor,2655,1292,23,16,46,22
1,Andrzej Goscinski,Emeritus Professor,na,na,na,na,na,na
2,Jemal Abawajy,Professor,na,na,na,na,na,na
3,Maia Angelova,Professor,775,477,17,12,23,18
4,Gleb Beliakov,Professor,8284,4872,43,33,134,88
5,Terry Caelli,Professor,9078,1632,54,20,183,38
6,Jinho Choi,Professor,8569,5753,38,32,175,104
7,Chang-Tsun Li,Professor,4687,2680,34,23,111,69
8,Robin Doss,Professor,na,na,na,na,na,na
9,Peter Eklund,Professor,4178,1004,35,16,79,31
10,Seng Loke,Professor,7472,3171,40,22,135,56
11,Antonio Robles-Kelly,Professor,3830,1719,25,17,64,31
12,Jean-Guy Schneider,Professor,1908,735,24,16,49,23
13,Yong Xiang,Professor,7286,5929,44,39,132,108
14,John Yearwood,Professor,4137,2347,31,24,99,52
15,Arkady Zaslavsky,Professor,15651,9000,50,34,184,86
16,Mohamed Abdelrazek,Associate Professor,2136,1532,18,17,35,31
17,Andrew Cain,Associate Professor,324,229,12,10,13,10
18,Richard Dazeley,Associate Professor,1692,1172,17,15,25,16
19,Guangyan Huang,Associate Professor,1280,955,20,19,33,27
20,Thuong Hoang,Associate Professor,583,524,15,13,21,16
21,Gang Li,Associate Professor,4674,3370,30,28,96,73
22,Jianxin Li,Associate Professor,1774,1396,22,20,47,41
23,Xiao Liu,Associate Professor,3440,1948,28,21,60,49
24,Vicky Mak,Associate Professor,na,na,na,na,na,na
25,Tim Wilkin,Associate Professor,442,364,11,10,12,11
